"","trt","treatment","rep","start_day","time","event"
"55","16i-11","16i","11",42529,15,1
"56","16i-11","16i","11",42529,15,1
"57","16i-12","16i","12",42529,15,1
"58","16i-12","16i","12",42529,15,1
"59","16i-12","16i","12",42529,15,1
"60","16i-15","16i","15",42530,14,1
"61","16i-15","16i","15",42530,14,1
"62","16i-15","16i","15",42530,14,1
"63","35u-16","35u","16",42530,14,1
"64","GDH-15","GDH","15",42530,14,1
"65","GDH-15","GDH","15",42530,14,1
"66","GDH-15","GDH","15",42530,14,1
"67","GDH-15","GDH","15",42530,14,1
"68","GDH-16","GDH","16",42530,14,1
"69","GNDH-11","GNDH","11",42529,15,1
"70","GNDH-11","GNDH","11",42529,15,1
"71","GNDH-11","GNDH","11",42529,15,1
"72","GNDH-11","GNDH","11",42529,15,1
"73","GNDH-11","GNDH","11",42529,15,1
"74","GNDH-11","GNDH","11",42529,15,1
"75","GNDH-11","GNDH","11",42529,15,1
"76","GNDH-12","GNDH","12",42529,15,1
"77","GNDH-14","GNDH","14",42530,14,1
"78","GNDH-14","GNDH","14",42530,14,1
"79","GNDH-14","GNDH","14",42530,14,1
"80","GNDH-14","GNDH","14",42530,14,1
"81","GNDH-15","GNDH","15",42530,14,1
"82","GNDH-15","GNDH","15",42530,14,1
"83","GNDH-15","GNDH","15",42530,14,1
"84","GNDH-15","GNDH","15",42530,14,1
"85","GNDH-15","GNDH","15",42530,14,1
"86","GNDH-15","GNDH","15",42530,14,1
"87","GNDH-15","GNDH","15",42530,14,1
"88","GNDH-15","GNDH","15",42530,14,1
"89","GNDH-15","GNDH","15",42530,14,1
"90","SDR-12","SDR","12",42529,15,1
"91","SDR-12","SDR","12",42529,15,1
"92","SDR-12","SDR","12",42529,15,1
"93","SDR-12","SDR","12",42529,15,1
"94","SDR-12","SDR","12",42529,15,1
"95","SDR-12","SDR","12",42529,15,1
"96","SDR-12","SDR","12",42529,15,1
"97","SDR-13","SDR","13",42529,15,1
"98","SDR-14","SDR","14",42530,14,1
"99","PVEC-11","PVEC","11",42529,15,1
"100","PVEC-11","PVEC","11",42529,15,1
"101","PVEC-11","PVEC","11",42529,15,1
"102","PVEC-11","PVEC","11",42529,15,1
"103","PVEC-11","PVEC","11",42529,15,1
"104","PVEC-11","PVEC","11",42529,15,1
"105","PVEC-11","PVEC","11",42529,15,1
"106","PVEC-11","PVEC","11",42529,15,1
"107","PVEC-11","PVEC","11",42529,15,1
