"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"53","30p-15","122","42541",122,"15","1",11,"30p-15_42541",0.75,8,"30p",3,61,"30p_11"
"54","30p-16","182","42541",182,"16","1",11,"30p-16_42541",0.75,13,"30p",3,56,"30p_11"
"55","35u-11","312","42541",312,"11","0",12,"35u-11_42541",0.75,25,"35u",3,49.92,"35u_12"
"56","35u-12","246","42541",246,"12","0",12,"35u-12_42541",0.75,14,"35u",3,70.2857142857143,"35u_12"
"57","35u-13","227","42541",227,"13","0",12,"35u-13_42541",0.75,22,"35u",3,41.2727272727273,"35u_12"
"58","35u-15","237","42541",237,"15","1",11,"35u-15_42541",0.75,19,"35u",3,49.8947368421053,"35u_11"
"59","35u-16","219","42541",219,"16","1",11,"35u-16_42541",0.75,27,"35u",3,32.4444444444444,"35u_11"
"60","70j-11","64","42541",64,"11","0",12,"70j-11_42541",0.75,27,"70j",3,9.48148148148148,"70j_12"
"61","70j-12","55","42541",55,"12","0",12,"70j-12_42541",0.75,15,"70j",3,14.6666666666667,"70j_12"
"62","70j-13","90","42541",90,"13","0",12,"70j-13_42541",0.75,35,"70j",3,10.2857142857143,"70j_12"
"63","70j-14","93","42541",93,"14","1",11,"70j-14_42541",0.75,27,"70j",3,13.7777777777778,"70j_11"
"64","70j-15","33","42541",33,"15","1",11,"70j-15_42541",0.75,16,"70j",3,8.25,"70j_11"
"65","70j-16","62","42541",62,"16","1",11,"70j-16_42541",0.747916666667152,38,"70j",3,6.54449494208636,"70j_11"
"66","71k-11","64","42541",64,"11","0",12,"71k-11_42541",0.747916666667152,19,"71k",3,13.5112153643073,"71k_12"
"67","71k-12","38","42541",38,"12","0",12,"71k-12_42541",0.747916666667152,19,"71k",3,8.02228412255747,"71k_12"
"68","71k-13","80","42541",80,"13","0",12,"71k-13_42541",0.747916666667152,21,"71k",3,15.2805411858238,"71k_12"
"69","71k-14","50","42541",50,"14","1",11,"71k-14_42541",0.747916666667152,19,"71k",3,10.5556370033651,"71k_11"
"70","71k-15","143","42541",143,"15","1",11,"71k-15_42541",0.747916666667152,19,"71k",3,30.1891218296242,"71k_11"
"71","71k-16","193+","42541",500,"16","1",11,"71k-16_42541",0.747916666667152,32,"71k",3,62.6740947074802,"71k_11"
"72","75o-12","84","42541",84,"12","0",12,"75o-12_42541",0.747916666667152,18,"75o",3,18.7186629526341,"75o_12"
"73","75o-13","43","42541",43,"13","0",12,"75o-13_42541",0.747916666667152,27,"75o",3,6.3881151346291,"75o_12"
"74","75o-14","109","42541",109,"14","1",11,"75o-14_42541",0.747916666667152,32,"75o",3,13.6629526462307,"75o_11"
"75","75o-15","24","42541",24,"15","1",11,"75o-15_42541",0.747916666667152,15,"75o",3,6.41782729804598,"75o_11"
"76","75o-16","79","42541",79,"16","1",11,"75o-16_42541",0.747916666667152,20,"75o",3,15.844011142051,"75o_11"
"77","GDH-11","301","42541",301,"11","0",12,"GDH-11_42541",0.752777777779556,21,"GDH",3,57.1217712175772,"GDH_12"
"78","GDH-12","337","42541",337,"12","0",12,"GDH-12_42541",0.752777777779556,38,"GDH",3,35.3427850067139,"GDH_12"
"79","GDH-13","398+","42541",500,"13","0",12,"GDH-13_42541",0.752777777779556,38,"GDH",3,52.4373664788041,"GDH_12"
"80","GDH-14","216","42541",216,"14","1",11,"GDH-14_42541",0.752777777779556,21,"GDH",3,40.9910384817165,"GDH_11"
"81","GDH-15","310","42541",310,"15","1",11,"GDH-15_42541",0.752777777779556,35,"GDH",3,35.2978386925892,"GDH_11"
"82","GDH-16","237","42541",237,"16","1",11,"GDH-16_42541",0.752777777779556,38,"GDH",3,24.8553117109531,"GDH_11"
"83","GNDH-11","226","42541",226,"11","0",12,"GNDH-11_42541",0.752777777779556,31,"GNDH",3,29.0536840851593,"GNDH_12"
"84","GNDH-12","332","42541",332,"12","0",12,"GNDH-12_42541",0.752777777779556,41,"GNDH",3,32.2707227071508,"GNDH_12"
"85","GNDH-13","389","42541",389,"13","0",12,"GNDH-13_42541",0.752777777779556,26,"GNDH",3,59.6253193299755,"GNDH_12"
"86","GNDH-14","263","42541",263,"14","1",11,"GNDH-14_42541",0.752777777779556,29,"GNDH",3,36.1420027992529,"GNDH_11"
"87","GNDH-15","280","42541",280,"15","1",11,"GNDH-15_42541",0.752777777779556,33,"GNDH",3,33.8141563233015,"GNDH_11"
"88","GNDH-16","230","42541",230,"16","1",11,"GNDH-16_42541",0.752777777779556,21,"GNDH",3,43.6478650499759,"GNDH_11"
"89","SDR-11","407","42541",407,"11","0",12,"SDR-11_42541",0.752777777779556,22,"SDR",3,73.7269372691985,"SDR_12"
"90","SDR-12","225","42541",225,"12","0",12,"SDR-12_42541",0.752777777779556,34,"SDR",3,26.3729107878691,"SDR_12"
"91","SDR-13","262","42541",262,"13","0",12,"SDR-13_42541",0.752777777779556,30,"SDR",3,34.8044280441982,"SDR_12"
"92","SDR-14","254","42541",254,"14","1",11,"SDR-14_42541",0.752777777779556,31,"SDR",3,32.6532555647366,"SDR_11"
"93","SDR-15","255","42541",255,"15","1",11,"SDR-15_42541",0.752777777779556,31,"SDR",3,32.7818116890072,"SDR_11"
"94","SDR-16","222","42541",222,"16","1",11,"SDR-16_42541",0.752777777779556,18,"SDR",3,49.151291512799,"SDR_11"
"95","PVEC-11","298+","42541",500,"11","0",12,"PVEC-11_42541",0.752777777779556,27,"PVEC",3,73.8007380072057,"PVEC_12"
"96","PVEC-12","372","42541",372,"12","0",12,"PVEC-12_42541",0.752777777779556,33,"PVEC",3,44.9245219723863,"PVEC_12"
"97","PVEC-13","256","42541",256,"13","0",12,"PVEC-13_42541",0.752777777779556,39,"PVEC",3,26.1595231336311,"PVEC_12"
"98","PVEC-14","224","42541",224,"14","1",11,"PVEC-14_42541",0.752777777779556,22,"PVEC",3,40.5769875879618,"PVEC_11"
"99","PVEC-15","264","42541",264,"15","1",11,"PVEC-15_42541",0.752777777779556,31,"PVEC",3,33.9388168074427,"PVEC_11"
"100","PVEC-16","326","42541",326,"16","1",11,"PVEC-16_42541",0.752777777779556,27,"PVEC",3,48.1180811806981,"PVEC_11"
"101","Lgno-12","22","42541",22,"12","0",12,"Lgno-12_42541",0.756249999998545,2,"Lgno",3,43.6363636364476,"Lgno_12"
"102","Lgno-13","12","42541",12,"13","0",12,"Lgno-13_42541",0.756249999998545,8,"Lgno",3,5.95041322315195,"Lgno_12"
"103","Lgno-14","2","42541",2,"14","1",11,"Lgno-14_42541",0.756249999998545,3,"Lgno",3,2.64462809917864,"Lgno_11"
"104","Ax-13","193","42541",193,"13","0",12,"Ax-13_42541",0.756249999998545,22,"Ax",3,34.800901577828,"Ax_12"
"105","Ax-14","172","42541",172,"14","1",11,"Ax-14_42541",0.756249999998545,26,"Ax",3,26.2428480610804,"Ax_11"
"106","Ax-16","76","42541",76,"16","1",11,"Ax-16_42541",0.756249999998545,7,"Ax",3,43.069657615195,"Ax_11"
"107","Gno-11","507+","42541",500,"11","0",12,"Gno-11_42541",0.756249999998545,27,"Gno",3,73.4618916438512,"Gno_12"
"108","Gno-12","239","42541",239,"12","0",12,"Gno-12_42541",0.756249999998545,19,"Gno",3,49.8999565029233,"Gno_12"
"109","Gno-13","436+","42541",500,"13","0",12,"Gno-13_42541",0.756249999998545,29,"Gno",3,68.3955542891028,"Gno_12"
"110","Gno-14","261","42541",261,"14","1",11,"Gno-14_42541",0.756249999998545,16,"Gno",3,64.7107438017774,"Gno_11"
"111","Gno-15","185","42541",185,"15","1",11,"Gno-15_42541",0.756249999998545,17,"Gno",3,43.169664560122,"Gno_11"
"112","Gno-16","287","42541",287,"16","1",11,"Gno-16_42541",0.756249999998545,21,"Gno",3,54.2148760331622,"Gno_11"
"113","7636-11","99","42541",99,"11","0",12,"7636-11_42541",0.75,9,"7636",3,44,"7636_12"
"114","7636-12","141","42541",141,"12","0",12,"7636-12_42541",0.75,15,"7636",3,37.6,"7636_12"
"115","7636-14","113","42541",113,"14","1",11,"7636-14_42541",0.75,33,"7636",3,13.6969696969697,"7636_11"
"116","7636-15","142","42541",142,"15","1",11,"7636-15_42541",0.75,25,"7636",3,22.72,"7636_11"
"117","7636-16","269","42541",269,"16","1",11,"7636-16_42541",0.75,30,"7636",3,35.8666666666667,"7636_11"
"118","10862-11","210","42541",210,"11","0",12,"10862-11_42541",0.75,26,"10862",3,32.3076923076923,"10862_12"
"119","10862-12","143","42541",143,"12","0",12,"10862-12_42541",0.75,21,"10862",3,27.2380952380952,"10862_12"
"120","10862-13","152","42541",152,"13","0",12,"10862-13_42541",0.75,23,"10862",3,26.4347826086957,"10862_12"
"121","10862-14","159","42541",159,"14","1",11,"10862-14_42541",0.75,28,"10862",3,22.7142857142857,"10862_11"
"122","10862-15","348","42541",348,"15","1",11,"10862-15_42541",0.75,25,"10862",3,55.68,"10862_11"
"123","10862-16","93","42541",93,"16","1",11,"10862-16_42541",0.75,18,"10862",3,20.6666666666667,"10862_11"
"124","1a-11","273","42544",273,"11","0",15,"1a-11_42544",0.759027777778101,14,"1a",4,102.763037511393,"1a_15"
"125","1a-14","417+","42544",500,"14","1",14,"1a-14_42544",0.759027777778101,24,"1a",4,109.789569990804,"1a_14"
"126","1a-15","235","42544",235,"15","1",14,"1a-15_42544",0.759027777778101,16,"1a",4,77.4016468435169,"1a_14"
