"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"223","71k-13","87","42544",87,"13","0",15,"71k-13_42544",0.770138888889051,20,"71k",4,22.5933273219069,"71k_15"
"224","71k-14","208","42544",208,"14","1",14,"71k-14_42544",0.770138888889051,19,"71k",4,56.8591903564021,"71k_14"
"225","71k-15","165","42544",165,"15","1",14,"71k-15_42544",0.770138888889051,19,"71k",4,45.1046461961844,"71k_14"
"226","71k-16","240","42544",240,"16","1",14,"71k-16_42544",0.770138888889051,32,"71k",4,38.9540126239774,"71k_14"
"227","71k-17","142","42544",142,"17","2",13,"71k-17_42544",0.779861111106584,33,"71k",4,22.070752044166,"71k_13"
"228","71k-18","195","42544",195,"18","2",13,"71k-18_42544",0.779861111106584,35,"71k",4,28.5765169827381,"71k_13"
"229","71k-19","90","42544",90,"19","2",13,"71k-19_42544",0.779861111106584,27,"71k",4,17.0970614426638,"71k_13"
"230","75o-12","244","42544",244,"12","0",15,"75o-12_42544",0.770138888889051,18,"75o",4,70.4057709648184,"75o_15"
"231","75o-13","370","42544",370,"13","0",15,"75o-13_42544",0.770138888889051,27,"75o",4,71.175232942576,"75o_15"
"232","75o-14","276","42544",276,"14","1",14,"75o-14_42544",0.770138888889051,32,"75o",4,44.797114517574,"75o_14"
"233","75o-15","202+","42544",500,"15","1",14,"75o-15_42544",0.770138888889051,15,"75o",4,173.128944995455,"75o_14"
"234","75o-16","316","42544",316,"16","1",14,"75o-16_42544",0.770138888889051,20,"75o",4,82.0631199278457,"75o_14"
"235","75o-17","286","42544",286,"17","2",13,"75o-17_42544",0.779861111106584,26,"75o",4,56.4203027607906,"75o_13"
"236","75o-18","279","42544",279,"18","2",13,"75o-18_42544",0.779861111106584,23,"75o",4,62.2184366413461,"75o_13"
"237","75o-19","244","42544",244,"19","2",13,"75o-19_42544",0.779861111106584,15,"75o",4,83.4336598401994,"75o_13"
"238","GDH-11","309+","42544",500,"11","0",15,"GDH-11_42544",0.771527777775191,12,"GDH",4,216.02160216094,"GDH_15"
"239","GDH-12","800+","42544",500,"12","0",15,"GDH-12_42544",0.771527777775191,34,"GDH",4,76.2429184097437,"GDH_15"
"240","GDH-13","703+","42544",500,"13","0",15,"GDH-13_42544",0.771527777775191,35,"GDH",4,74.0645493123224,"GDH_15"
"241","GDH-14","404+","42544",500,"14","1",14,"GDH-14_42544",0.771527777775191,21,"GDH",4,123.440915520537,"GDH_14"
"242","GDH-15","457+","42544",500,"15","1",14,"GDH-15_42544",0.771527777775191,31,"GDH",4,83.6212653526221,"GDH_14"
"243","GDH-16","433+","42544",500,"16","1",14,"GDH-16_42544",0.771527777775191,37,"GDH",4,70.061060160305,"GDH_14"
"244","GDH-17","250","42544",250,"17","2",13,"GDH-17_42544",0.781944444446708,34,"GDH",4,37.6136244905399,"GDH_13"
"245","GDH-18","488+","42544",500,"18","2",13,"GDH-18_42544",0.781944444446708,37,"GDH",4,69.1277423069383,"GDH_13"
"246","GDH-19","229","42544",229,"19","2",13,"GDH-19_42544",0.781944444446708,31,"GDH",4,37.7883458430121,"GDH_13"
"247","GNDH-11","424+","42544",500,"11","0",15,"GNDH-11_42544",0.771527777775191,24,"GNDH",4,108.01080108047,"GNDH_15"
"248","GNDH-12","506+","42544",500,"12","0",15,"GNDH-12_42544",0.771527777775191,37,"GNDH",4,70.061060160305,"GNDH_15"
"249","GNDH-13","466+","42544",500,"13","0",15,"GNDH-13_42544",0.771527777775191,25,"GNDH",4,103.690369037251,"GNDH_15"
"250","GNDH-14","445+","42544",500,"14","1",14,"GNDH-14_42544",0.771527777775191,25,"GNDH",4,103.690369037251,"GNDH_14"
"251","GNDH-15","442","42544",442,"15","1",14,"GNDH-15_42544",0.771527777775191,24,"GNDH",4,95.4815481551356,"GNDH_14"
"252","GNDH-16","344+","42544",500,"16","1",14,"GNDH-16_42544",0.771527777775191,17,"GNDH",4,152.485836819487,"GNDH_14"
"253","SDR-11","486+","42544",500,"11","0",15,"SDR-11_42544",0.771527777775191,22,"SDR",4,117.829964815058,"SDR_15"
"254","SDR-12","383","42544",383,"12","0",15,"SDR-12_42544",0.771527777775191,25,"SDR",4,79.4268226825345,"SDR_15"
"255","SDR-13","505+","42544",500,"13","0",15,"SDR-13_42544",0.771527777775191,29,"SDR",4,89.3882491700443,"SDR_15"
"256","SDR-14","593+","42544",500,"14","1",14,"SDR-14_42544",0.771527777775191,30,"SDR",4,86.4086408643762,"SDR_14"
"257","SDR-15","492+","42544",500,"15","1",14,"SDR-15_42544",0.771527777775191,31,"SDR",4,83.6212653526221,"SDR_14"
"258","SDR-16","489+","42544",500,"16","1",14,"SDR-16_42544",0.771527777775191,18,"SDR",4,144.014401440627,"SDR_14"
"259","SDR-18","183","42544",183,"18","2",13,"SDR-18_42544",0.781944444446708,14,"SDR",4,66.8662775943256,"SDR_13"
"260","SDR-19","273","42544",273,"19","2",13,"SDR-19_42544",0.781944444446708,12,"SDR",4,116.376554173731,"SDR_13"
"261","PVEC-11","286","42544",286,"11","0",15,"PVEC-11_42544",0.771527777775191,17,"PVEC",4,87.2218986607467,"PVEC_15"
"262","PVEC-12","226","42544",226,"12","0",15,"PVEC-12_42544",0.771527777775191,24,"PVEC",4,48.8208820883725,"PVEC_15"
"263","PVEC-13","400+","42544",500,"13","0",15,"PVEC-13_42544",0.771527777775191,39,"PVEC",4,66.4681852802893,"PVEC_15"
"264","PVEC-14","351","42544",351,"14","1",14,"PVEC-14_42544",0.771527777775191,18,"PVEC",4,101.09810981132,"PVEC_14"
"265","PVEC-15","418","42544",418,"15","1",14,"PVEC-15_42544",0.771527777775191,25,"PVEC",4,86.6851485151421,"PVEC_14"
"266","PVEC-16","410","42544",410,"16","1",14,"PVEC-16_42544",0.771527777775191,27,"PVEC",4,78.7278727875427,"PVEC_14"
"267","Lgno-12","31","42544",31,"12","0",15,"Lgno-12_42544",0.776388888887595,2,"Lgno",4,79.8568872988808,"Lgno_15"
"268","Lgno-13","249","42544",249,"13","0",15,"Lgno-13_42544",0.776388888887595,7,"Lgno",4,183.266036289597,"Lgno_15"
"269","Lgno-14","51","42544",51,"14","1",14,"Lgno-14_42544",0.776388888887595,3,"Lgno",4,87.5849731665144,"Lgno_14"
"270","Ax-13","411","42544",411,"13","0",15,"Ax-13_42544",0.776388888887595,22,"Ax",4,96.2497967150734,"Ax_15"
"271","Ax-14","408+","42544",500,"14","1",14,"Ax-14_42544",0.776388888887595,25,"Ax",4,103.041144901782,"Ax_14"
"272","Ax-16","280","42544",280,"16","1",14,"Ax-16_42544",0.776388888887595,7,"Ax",4,206.082289803563,"Ax_14"
"273","Ax-18","385+","42544",500,"18","2",13,"Ax-18_42544",0.781944444446708,27,"Ax",4,94.7306098280265,"Ax_13"
"274","Gno-11","503+","42544",500,"11","0",15,"Gno-11_42544",0.776388888887595,27,"Gno",4,95.4084675016497,"Gno_15"
"275","Gno-12","364","42544",364,"12","0",15,"Gno-12_42544",0.776388888887595,19,"Gno",4,98.7025703796014,"Gno_15"
"276","Gno-13","453+","42544",500,"13","0",15,"Gno-13_42544",0.776388888887595,28,"Gno",4,92.0010222337337,"Gno_15"
"277","Gno-14","419+","42544",500,"14","1",14,"Gno-14_42544",0.776388888887595,16,"Gno",4,161.001788909034,"Gno_14"
"278","Gno-15","372+","42544",500,"15","1",14,"Gno-15_42544",0.776388888887595,17,"Gno",4,151.531095443797,"Gno_14"
"279","Gno-16","339+","42544",500,"16","1",14,"Gno-16_42544",0.776388888887595,20,"Gno",4,128.801431127227,"Gno_14"
"280","Gno-18","170","42544",170,"18","2",13,"Gno-18_42544",0.781944444446708,29,"Gno",4,29.9871378696994,"Gno_13"
"281","Gno-19","453","42544",453,"19","2",13,"Gno-19_42544",0.781944444446708,23,"Gno",4,100.752181635356,"Gno_13"
"282","7636-11","340","42544",340,"11","0",15,"7636-11_42544",0.769444444442343,9,"7636",4,196.389891697287,"7636_15"
"283","7636-12","336","42544",336,"12","0",15,"7636-12_42544",0.769444444442343,15,"7636",4,116.447653429921,"7636_15"
"284","7636-14","398","42544",398,"14","1",14,"7636-14_42544",0.769444444442343,32,"7636",4,64.657039711368,"7636_14"
"285","7636-15","346+","42544",500,"15","1",14,"7636-15_42544",0.769444444442343,25,"7636",4,103.971119133858,"7636_14"
"286","7636-16","329+","42544",500,"16","1",14,"7636-16_42544",0.769444444442343,30,"7636",4,86.642599278215,"7636_14"
"287","7636-17","210","42544",210,"17","2",13,"7636-17_42544",0.779861111106584,27,"7636",4,39.8931433662156,"7636_13"
"288","7636-19","137","42544",137,"19","2",13,"7636-19_42544",0.779861111106584,22,"7636",4,31.9404193315219,"7636_13"
"289","10862-11","399+","42544",500,"11","0",15,"10862-11_42544",0.769444444442343,26,"10862",4,99.9722299364019,"10862_15"
"290","10862-12","349","42544",349,"12","0",15,"10862-12_42544",0.769444444442343,18,"10862",4,100.79422382699,"10862_15"
"291","10862-13","401+","42544",500,"13","0",15,"10862-13_42544",0.769444444442343,22,"10862",4,118.148999015748,"10862_15"
"292","10862-14","458+","42544",500,"14","1",14,"10862-14_42544",0.769444444442343,28,"10862",4,92.8313563695161,"10862_14"
"293","10862-15","380","42544",380,"15","1",14,"10862-15_42544",0.769444444442343,25,"10862",4,79.0180505417321,"10862_14"
"294","10862-16","386","42544",386,"16","1",14,"10862-16_42544",0.769444444442343,18,"10862",4,111.480144404637,"10862_14"
"295","10862-17","336","42544",336,"17","2",13,"10862-17_42544",0.779861111106584,29,"10862",4,59.427027359328,"10862_13"
"296","10862-18","217","42544",217,"18","2",13,"10862-18_42544",0.779861111106584,35,"10862",4,31.8005342833547,"10862_13"
"297","10862-19","315","42544",315,"19","2",13,"10862-19_42544",0.779861111106584,27,"10862",4,59.8397150493233,"10862_13"
"298","1a-11","202","42548",202,"11","0",19,"1a-11_42548",0.752083333332848,14,"1a",3,57.5544123466932,"1a_19"
"299","1a-14","269","42548",269,"14","1",18,"1a-14_42548",0.752083333332848,23,"1a",3,46.6530169818439,"1a_18"
"300","1a-15","172","42548",172,"15","1",18,"1a-15_42548",0.752083333332848,15,"1a",3,45.7396121883952,"1a_18"
"301","1a-16","337","42548",337,"16","1",18,"1a-16_42548",0.752083333332848,23,"1a",3,58.4463446947264,"1a_18"
"302","1a-17","264","42548",264,"17","2",17,"1a-17_42548",0.752083333332848,12,"1a",3,87.7562326870372,"1a_17"
"303","1a-18","485+","42548",500,"18","2",17,"1a-18_42548",0.752083333332848,29,"1a",3,68.7744770274586,"1a_17"
"304","1a-19","429","42548",429,"19","2",17,"1a-19_42548",0.752083333332848,27,"1a",3,63.3795013850824,"1a_17"
"305","2b-11","165","42548",165,"11","0",19,"2b-11_42548",0.752083333332848,15,"2b",3,43.8781163435186,"2b_19"
"306","2b-12","255","42548",255,"12","0",19,"2b-12_42548",0.752083333332848,17,"2b",3,59.833795013889,"2b_19"
"307","2b-13","216","42548",216,"13","0",19,"2b-13_42548",0.752083333332848,16,"2b",3,53.8504155125001,"2b_19"
"308","2b-15","237","42548",237,"15","1",18,"2b-15_42548",0.752083333332848,17,"2b",3,55.6102330129086,"2b_18"
"309","2b-17","280","42548",280,"17","2",17,"2b-17_42548",0.752083333332848,13,"2b",3,85.915192840456,"2b_17"
"310","2b-18","214","42548",214,"18","2",17,"2b-18_42548",0.752083333332848,25,"2b",3,34.1451523545927,"2b_17"
"311","2b-19","152","42548",152,"19","2",17,"2b-19_42548",0.752083333332848,15,"2b",3,40.421052631605,"2b_17"
"312","3c-11","330","42548",330,"11","0",19,"3c-11_42548",0.752083333332848,23,"3c",3,57.232325665459,"3c_19"
"313","3c-12","311","42548",311,"12","0",19,"3c-12_42548",0.752083333332848,25,"3c",3,49.6221606648519,"3c_19"
"314","3c-13","308","42548",308,"13","0",19,"3c-13_42548",0.752083333332848,18,"3c",3,68.2548476454734,"3c_19"
"315","3c-14","273","42548",273,"14","1",18,"3c-14_42548",0.752083333332848,24,"3c",3,45.3739612188658,"3c_18"
"316","3c-15","480+","42548",500,"15","1",18,"3c-15_42548",0.752083333332848,24,"3c",3,83.1024930748458,"3c_18"
"317","3c-16","452+","42548",500,"16","1",18,"3c-16_42548",0.752083333332848,31,"3c",3,64.337413993429,"3c_18"
"318","3c-18","446+","42548",500,"18","2",17,"3c-18_42548",0.752083333332848,29,"3c",3,68.7744770274586,"3c_17"
"319","3c-19","246+","42548",500,"19","2",17,"3c-19_42548",0.752083333332848,24,"3c",3,83.1024930748458,"3c_17"
"320","4d-11","197","42548",197,"11","0",19,"4d-11_42548",0.765277777776646,23,"4d",3,33.5768957626946,"4d_19"
"321","4d-12","190","42548",190,"12","0",19,"4d-12_42548",0.765277777776646,20,"4d",3,37.2413793103999,"4d_19"
"322","4d-13","299+","42548",500,"13","0",19,"4d-13_42548",0.765277777776646,21,"4d",3,93.3367902516288,"4d_19"
"323","4d-14","305+","42548",500,"14","1",18,"4d-14_42548",0.765277777776646,27,"4d",3,72.5952813068224,"4d_18"
"324","4d-15","209","42548",209,"15","1",18,"4d-15_42548",0.765277777776646,17,"4d",3,48.1947261663999,"4d_18"
"325","4d-16","433+","42548",500,"16","1",18,"4d-16_42548",0.765277777776646,22,"4d",3,89.0942088765548,"4d_18"
"326","4d-17","375+","42548",500,"17","2",17,"4d-17_42548",0.765277777776646,34,"4d",3,57.6491939789472,"4d_17"
"327","4d-18","391+","42548",500,"18","2",17,"4d-18_42548",0.765277777776646,41,"4d",3,47.8066486654684,"4d_17"
"328","4d-19","267","42548",267,"19","2",17,"4d-19_42548",0.765277777776646,14,"4d",3,74.7627689915547,"4d_17"
"329","11c-11","432+","42548",500,"11","0",19,"11c-11_42548",0.765277777776646,24,"11c",3,81.6696914701752,"11c_19"
"330","11c-12","365+","42548",500,"12","0",19,"11c-12_42548",0.765277777776646,21,"11c",3,93.3367902516288,"11c_19"
"331","11c-13","154+","42548",500,"13","0",19,"11c-13_42548",0.765277777776646,14,"11c",3,140.005185377443,"11c_19"
"332","11c-14","62","42548",62,"14","1",18,"11c-14_42548",0.765277777776646,5,"11c",3,48.6098003630483,"11c_18"
"333","11c-15","433+","42548",500,"15","1",18,"11c-15_42548",0.765277777776646,27,"11c",3,72.5952813068224,"11c_18"
"334","11c-16","426","42548",426,"16","1",18,"11c-16_42548",0.765277777776646,21,"11c",3,79.5229452943878,"11c_18"
"335","11c-17","261","42548",261,"17","2",17,"11c-17_42548",0.765277777776646,17,"11c",3,60.1857585140209,"11c_17"
"336","11c-18","464+","42548",500,"18","2",17,"11c-18_42548",0.765277777776646,32,"11c",3,61.2522686026314,"11c_17"
"337","11c-19","426+","42548",500,"19","2",17,"11c-19_42548",0.765277777776646,23,"11c",3,85.2205476210524,"11c_17"
"338","13g-11","182","42548",182,"11","0",19,"13g-11_42548",0.776388888894871,18,"13g",3,39.0697674415594,"13g_19"
"339","13g-12","130","42548",130,"12","0",19,"13g-12_42548",0.776388888894871,18,"13g",3,27.906976743971,"13g_19"
"340","13g-13","120","42548",120,"13","0",19,"13g-13_42548",0.776388888894871,19,"13g",3,24.4044816870354,"13g_19"
"341","13g-14","213","42548",213,"14","1",18,"13g-14_42548",0.776388888894871,30,"13g",3,27.4347048298423,"13g_18"
"342","13g-15","71","42548",71,"15","1",18,"13g-15_42548",0.783333333340124,11,"13g",3,24.7195357831513,"13g_18"
"343","13g-16","145","42548",145,"16","1",18,"13g-16_42548",0.783333333340124,9,"13g",3,61.7021276590396,"13g_18"
"344","13g-17","100","42548",100,"17","2",17,"13g-17_42548",0.783333333340124,27,"13g",3,14.1843971629976,"13g_17"
"345","13g-18","167","42548",167,"18","2",17,"13g-18_42548",0.783333333340124,19,"13g",3,33.6618141094506,"13g_17"
"346","13g-19","237+","42548",500,"19","2",17,"13g-19_42548",0.783333333340124,31,"13g",3,61.7707618388605,"13g_17"
"347","15h-11","423+","42548",500,"11","0",19,"15h-11_42548",0.783333333340124,28,"15h",3,68.389057750167,"15h_19"
"348","15h-12","150","42548",150,"12","0",19,"15h-12_42548",0.783333333340124,17,"15h",3,33.7922403000825,"15h_19"
"349","15h-13","265+","42548",500,"13","0",19,"15h-13_42548",0.783333333340124,24,"15h",3,79.7872340418615,"15h_19"
"350","15h-14","312","42548",312,"14","1",18,"15h-14_42548",0.783333333340124,17,"15h",3,70.2878598241716,"15h_18"
"351","15h-15","284+","42548",500,"15","1",18,"15h-15_42548",0.783333333340124,18,"15h",3,106.382978722482,"15h_18"
"352","15h-16","242+","42548",500,"16","1",18,"15h-16_42548",0.783333333340124,22,"15h",3,87.040618954758,"15h_18"
"353","15h-17","420+","42548",500,"17","2",17,"15h-17_42548",0.783333333340124,35,"15h",3,54.7112462001336,"15h_17"
"354","15h-18","410+","42548",500,"18","2",17,"15h-18_42548",0.783333333340124,23,"15h",3,83.2562442175946,"15h_17"
"355","15h-19","223+","42548",500,"19","2",17,"15h-19_42548",0.783333333340124,10,"15h",3,191.489361700468,"15h_17"
"356","16i-11","0","42548",0,"11","0",19,"16i-11_42548",0.783333333340124,17,"16i",3,0,"16i_19"
"357","16i-12","178","42548",178,"12","0",19,"16i-12_42548",0.783333333340124,17,"16i",3,40.1001251560979,"16i_19"
"358","16i-13","0","42548",0,"13","0",19,"16i-13_42548",0.783333333340124,5,"16i",3,0,"16i_19"
"359","16i-15","0","42548",0,"15","1",18,"16i-15_42548",0.783333333340124,16,"16i",3,0,"16i_18"
"360","16i-17","27","42548",27,"17","2",17,"16i-17_42548",0.783333333340124,29,"16i",3,3.56566397649147,"16i_17"
"361","16i-19","0","42548",0,"19","2",17,"16i-19_42548",0.783333333340124,8,"16i",3,0,"16i_17"
"362","28n-11","324+","42548",500,"11","0",19,"28n-11_42548",0.765277777776646,27,"28n",3,72.5952813068224,"28n_19"
"363","28n-12","161","42548",161,"12","0",19,"28n-12_42548",0.765277777776646,16,"28n",3,39.4464609800946,"28n_19"
"364","28n-13","266+","42548",500,"13","0",19,"28n-13_42548",0.765277777776646,22,"28n",3,89.0942088765548,"28n_19"
"365","28n-14","283+","42548",500,"14","1",18,"28n-14_42548",0.765277777776646,16,"28n",3,122.504537205263,"28n_18"
"366","28n-15","401","42548",401,"15","1",18,"28n-15_42548",0.765277777776646,21,"28n",3,74.8561057818063,"28n_18"
"367","28n-16","266","42548",266,"16","1",18,"28n-16_42548",0.765277777776646,15,"28n",3,69.5172413794132,"28n_18"
"368","28n-17","555+","42548",500,"17","2",17,"28n-17_42548",0.765277777776646,22,"28n",3,89.0942088765548,"28n_17"
"369","28n-18","430+","42548",500,"18","2",17,"28n-18_42548",0.771527777775191,21,"28n",3,92.580686640403,"28n_17"
"370","28n-19","327+","42548",500,"19","2",17,"28n-19_42548",0.771527777775191,24,"28n",3,81.0081008103526,"28n_17"
"371","30p-11","262+","42548",500,"11","0",19,"30p-11_42548",0.771527777775191,16,"30p",3,121.512151215529,"30p_19"
"372","30p-12","285+","42548",500,"12","0",19,"30p-12_42548",0.771527777775191,16,"30p",3,121.512151215529,"30p_19"
"373","30p-13","270+","42548",500,"13","0",19,"30p-13_42548",0.771527777775191,18,"30p",3,108.01080108047,"30p_19"
"374","30p-14","427+","42548",500,"14","1",18,"30p-14_42548",0.771527777775191,32,"30p",3,60.7560756077645,"30p_18"
"375","30p-15","93","42548",93,"15","1",18,"30p-15_42548",0.771527777775191,5,"30p",3,72.3240324034828,"30p_18"
"376","30p-16","240+","42548",500,"16","1",18,"30p-16_42548",0.771527777775191,11,"30p",3,176.744947222588,"30p_18"
"377","30p-18","220+","42548",500,"18","2",17,"30p-18_42548",0.771527777775191,14,"30p",3,138.871029960605,"30p_17"
"378","30p-19","193+","42548",500,"19","2",17,"30p-19_42548",0.771527777775191,10,"30p",3,194.419441944846,"30p_17"
"379","35u-11","320+","42548",500,"11","0",19,"35u-11_42548",0.771527777775191,24,"35u",3,81.0081008103526,"35u_19"
"380","35u-12","216+","42548",500,"12","0",19,"35u-12_42548",0.771527777775191,14,"35u",3,138.871029960605,"35u_19"
"381","35u-13","365+","42548",500,"13","0",19,"35u-13_42548",0.771527777775191,22,"35u",3,88.3724736112938,"35u_19"
"382","35u-15","352","42548",352,"15","1",18,"35u-15_42548",0.771527777775191,19,"35u",3,72.0375195416694,"35u_18"
"383","35u-16","360","42548",360,"16","1",18,"35u-16_42548",0.771527777775191,23,"35u",3,60.8617383479519,"35u_18"
"384","35u-17","376+","42548",500,"17","2",17,"35u-17_42548",0.771527777775191,25,"35u",3,77.7677767779385,"35u_17"
"385","35u-18","35","42548",35,"18","2",17,"35u-18_42548",0.771527777775191,4,"35u",3,34.0234023403481,"35u_17"
"386","35u-19","201","42548",201,"19","2",17,"35u-19_42548",0.771527777775191,9,"35u",3,86.840684068698,"35u_17"
"387","70j-11","354+","42548",500,"11","0",19,"70j-11_42548",0.771527777775191,22,"70j",3,88.3724736112938,"70j_19"
"388","70j-12","121","42548",121,"12","0",19,"70j-12_42548",0.771527777775191,14,"70j",3,33.6067892504663,"70j_19"
"389","70j-13","313","42548",313,"13","0",19,"70j-13_42548",0.771527777775191,34,"70j",3,35.7960501933746,"70j_19"
"390","70j-14","102","42548",102,"14","1",18,"70j-14_42548",0.771527777775191,22,"70j",3,18.0279846167039,"70j_18"
"391","70j-15","77","42548",77,"15","1",18,"70j-15_42548",0.771527777775191,14,"70j",3,21.3861386139331,"70j_18"
"392","70j-16","282","42548",282,"16","1",18,"70j-16_42548",0.771527777775191,38,"70j",3,28.8559382254982,"70j_18"
"393","70j-17","236+","42548",500,"17","2",17,"70j-17_42548",0.776388888894871,11,"70j",3,175.638315171846,"70j_17"
"394","70j-19","179","42548",179,"19","2",17,"70j-19_42548",0.776388888894871,16,"70j",3,43.2289803216705,"70j_17"
"395","71k-11","192","42548",192,"11","0",19,"71k-11_42548",0.776388888894871,14,"71k",3,52.992588806134,"71k_19"
"396","71k-12","258","42548",258,"12","0",19,"71k-12_42548",0.776388888894871,18,"71k",3,55.3846153841886,"71k_19"
"397","71k-13","368","42548",368,"13","0",19,"71k-13_42548",0.776388888894871,19,"71k",3,74.8404105069085,"71k_19"
"398","71k-14","291","42548",291,"14","1",18,"71k-14_42548",0.776388888894871,17,"71k",3,66.1433231605973,"71k_18"
"399","71k-15","270","42548",270,"15","1",18,"71k-15_42548",0.776388888894871,19,"71k",3,54.9100837958296,"71k_18"
"400","71k-16","286","42548",286,"16","1",18,"71k-16_42548",0.776388888894871,30,"71k",3,36.8372093020417,"71k_18"
"401","71k-17","361","42548",361,"17","2",17,"71k-17_42548",0.776388888894871,32,"71k",3,43.5912343467124,"71k_17"
"402","71k-18","213","42548",213,"18","2",17,"71k-18_42548",0.776388888894871,29,"71k",3,28.3807291343196,"71k_17"
"403","71k-19","382","42548",382,"19","2",17,"71k-19_42548",0.776388888894871,24,"71k",3,61.5026833626746,"71k_17"
"404","75o-12","95","42548",95,"12","0",19,"75o-12_42548",0.776388888894871,16,"75o",3,22.9427549193223,"75o_19"
"405","75o-13","296","42548",296,"13","0",19,"75o-13_42548",0.776388888894871,26,"75o",3,43.990642630733,"75o_19"
"406","75o-14","208","42548",208,"14","1",18,"75o-14_42548",0.776388888894871,30,"75o",3,26.7906976742122,"75o_18"
"407","75o-15","164","42548",164,"15","1",18,"75o-15_42548",0.776388888894871,12,"75o",3,52.8085867616682,"75o_18"
"408","75o-16","258","42548",258,"16","1",18,"75o-16_42548",0.776388888894871,19,"75o",3,52.4696356271261,"75o_18"
"409","75o-17","303","42548",303,"17","2",17,"75o-17_42548",0.776388888894871,26,"75o",3,45.0309618821355,"75o_17"
"410","75o-18","328","42548",328,"18","2",17,"75o-18_42548",0.776388888894871,23,"75o",3,55.1046122730451,"75o_17"
"411","75o-19","258","42548",258,"19","2",17,"75o-19_42548",0.776388888894871,15,"75o",3,66.4615384610263,"75o_17"
"412","GDH-11","252+","42548",500,"11","0",19,"GDH-11_42548",0.786111111112405,12,"GDH",3,159.010600706452,"GDH_19"
"413","GDH-12","625+","42548",500,"12","0",19,"GDH-12_42548",0.786111111112405,34,"GDH",3,56.1213884846302,"GDH_19"
"414","GDH-13","401+","42548",500,"13","0",19,"GDH-13_42548",0.786111111112405,35,"GDH",3,54.5179202422122,"GDH_19"
"415","GDH-14","341+","42548",500,"14","1",18,"GDH-14_42548",0.786111111112405,21,"GDH",3,90.8632004036869,"GDH_18"
"416","GDH-15","410+","42548",500,"15","1",18,"GDH-15_42548",0.786111111112405,31,"GDH",3,61.552490596046,"GDH_18"
"417","GDH-16","329+","42548",500,"16","1",18,"GDH-16_42548",0.786111111112405,37,"GDH",3,51.571005634525,"GDH_18"
"418","GDH-17","578+","42548",500,"17","2",17,"GDH-17_42548",0.786111111112405,34,"GDH",3,56.1213884846302,"GDH_17"
"419","GDH-18","510+","42548",500,"18","2",17,"GDH-18_42548",0.786111111112405,37,"GDH",3,51.571005634525,"GDH_17"
"420","GDH-19","499+","42548",500,"19","2",17,"GDH-19_42548",0.786111111112405,31,"GDH",3,61.552490596046,"GDH_17"
"421","GNDH-11","373+","42548",500,"11","0",19,"GNDH-11_42548",0.786111111112405,24,"GNDH",3,79.5053003532261,"GNDH_19"
"422","GNDH-12","336","42548",336,"12","0",19,"GNDH-12_42548",0.791666666664241,36,"GNDH",3,35.3684210527399,"GNDH_19"
"423","GNDH-13","470+","42548",500,"13","0",19,"GNDH-13_42548",0.791666666664241,25,"GNDH",3,75.7894736844427,"GNDH_19"
"424","GNDH-14","384+","42548",500,"14","1",18,"GNDH-14_42548",0.791666666664241,25,"GNDH",3,75.7894736844427,"GNDH_18"
"425","GNDH-15","471+","42548",500,"15","1",18,"GNDH-15_42548",0.791666666664241,24,"GNDH",3,78.9473684212945,"GNDH_18"
"426","GNDH-16","333","42548",333,"16","1",18,"GNDH-16_42548",0.791666666664241,16,"GNDH",3,78.8684210528732,"GNDH_18"
"427","GNDH-17","557+","42548",500,"17","2",17,"GNDH-17_42548",0.791666666664241,28,"GNDH",3,67.6691729325381,"GNDH_17"
"428","GNDH-18","552+","42548",500,"18","2",17,"GNDH-18_42548",0.791666666664241,42,"GNDH",3,45.1127819550254,"GNDH_17"
"429","GNDH-19","365+","42548",500,"19","2",17,"GNDH-19_42548",0.791666666664241,16,"GNDH",3,118.421052631942,"GNDH_17"
"430","SDR-11","484+","42548",500,"11","0",19,"SDR-11_42548",0.791666666664241,22,"SDR",3,86.1244019141394,"SDR_19"
"431","SDR-12","472+","42548",500,"12","0",19,"SDR-12_42548",0.791666666664241,25,"SDR",3,75.7894736844427,"SDR_19"
"432","SDR-13","447+","42548",500,"13","0",19,"SDR-13_42548",0.791666666664241,29,"SDR",3,65.3357531762437,"SDR_19"
"433","SDR-14","470+","42548",500,"14","1",18,"SDR-14_42548",0.791666666664241,30,"SDR",3,63.1578947370356,"SDR_18"
"434","SDR-15","520+","42548",500,"15","1",18,"SDR-15_42548",0.791666666664241,31,"SDR",3,61.1205432939054,"SDR_18"
"435","SDR-16","490","42548",490,"16","1",18,"SDR-16_42548",0.791666666664241,18,"SDR",3,103.157894737158,"SDR_18"
"436","SDR-17","156","42548",156,"17","2",17,"SDR-17_42548",0.791666666664241,10,"SDR",3,59.1157894738653,"SDR_17"
"437","SDR-18","149","42548",149,"18","2",17,"SDR-18_42548",0.791666666664241,14,"SDR",3,40.3308270677927,"SDR_17"
"438","SDR-19","333","42548",333,"19","2",17,"SDR-19_42548",0.796527777776646,12,"SDR",3,104.516129032407,"SDR_17"
"439","PVEC-11","332","42548",332,"11","0",19,"PVEC-11_42548",0.791666666664241,17,"PVEC",3,74.0061919506911,"PVEC_19"
"440","PVEC-12","437+","42548",500,"12","0",19,"PVEC-12_42548",0.791666666664241,24,"PVEC",3,78.9473684212945,"PVEC_19"
